15 6833 25833
0 0 0.25451 -0.35849
1 0 0.272643 -0.384165
0 1 -0.0938987 -0.326905
1 1 -0.0643553 -0.353396
0 2 -0.0806551 -0.315698
1 2 -0.0521304 -0.344226
0 3 -0.260972 -0.314679
1 3 -0.227353 -0.35849
0 4 -0.0755614 -0.300415
1 4 -0.046018 -0.328943
0 4 -0.0735239 -0.298377
0 5 -0.240597 -0.297358
1 5 -0.207997 -0.342188
0 6 -0.252822 -0.292264
1 6 -0.220222 -0.338113
0 7 -0.0847301 -0.292264
1 7 -0.0562054 -0.32283
0 8 -0.236522 -0.280037
1 8 -0.204941 -0.325886
0 9 -0.227353 -0.278
1 9 -0.195773 -0.32283
0 10 -0.22226 -0.278
1 10 -0.190679 -0.323849
0 10 -0.220222 -0.278
0 11 0.483726 -0.278
1 11 0.495951 -0.312641
0 9 -0.225316 -0.276981
0 12 0.479651 -0.275962
1 12 0.491876 -0.310603
0 13 0.477613 -0.273924
1 13 0.489838 -0.308566
0 14 -0.213091 -0.270868
1 14 -0.182529 -0.315698
0 15 -0.0511117 -0.26883
1 15 -0.0246245 -0.300415
0 16 -0.224297 -0.263736
1 16 -0.194754 -0.310603
0 17 0.484745 -0.262717
1 17 0.496969 -0.299396
0 18 0.451126 -0.260679
1 18 0.463351 -0.29532
0 19 0.455201 -0.260679
1 19 0.467426 -0.29532
0 20 -0.0164746 -0.251509
1 20 0.00797512 -0.283094
0 21 0.424639 -0.249472
1 21 0.437883 -0.285132
0 22 0.428714 -0.249472
1 22 0.441958 -0.285132
0 23 -0.174379 -0.246415
1 23 -0.146873 -0.290226
0 24 0.421583 -0.246415
1 24 0.434826 -0.282075
0 25 -0.18966 -0.245396
1 25 -0.161135 -0.291245
0 26 -0.0307369 -0.24234
1 26 -0.00628722 -0.275962
0 27 -0.177435 -0.239283
1 27 -0.149929 -0.285132
0 28 -0.18151 -0.236226
1 28 -0.154004 -0.282075
0 29 0.398152 -0.236226
1 29 0.411395 -0.271887
0 30 -0.166229 -0.235208
1 30 -0.139742 -0.280037
0 31 0.00899385 -0.235208
1 31 0.0254567 -0.289289
0 32 0.395096 -0.235208
1 32 0.408339 -0.270868
0 33 0.00288143 -0.230113
1 33 0.0254567 -0.26288
0 34 -0.180491 -0.225019
1 34 -0.152986 -0.271887
0 35 -0.185585 -0.222981
1 35 -0.158079 -0.270868
0 36 0.0191812 -0.208717
1 36 0.037926 -0.249675
0 36 0.0202 -0.206679
0 37 0.0222374 -0.203623
1 37 0.0415935 -0.24234
0 38 -0.0144371 -0.18834
1 38 0.00797512 -0.225019
0 39 -0.0134184 -0.186302
1 39 0.00899385 -0.222981
0 40 -0.144836 -0.184264
1 40 -0.119775 -0.231336
0 41 -0.0134184 -0.183246
1 41 0.00899385 -0.219925
0 41 -0.0123996 -0.181208
0 42 0.0140875 -0.174076
1 42 0.035481 -0.210755
0 43 -0.0847301 -0.172038
1 43 -0.0623178 -0.21483
0 44 0.361477 -0.166944
1 44 0.361477 -0.232151
0 45 -0.00221227 -0.165925
1 45 0.0191812 -0.203623
0 46 -0.000174789 -0.165925
1 46 0.0212187 -0.203623
0 47 0.0140875 -0.164906
1 47 0.035481 -0.202604
0 46 0.000843949 -0.163887
0 48 -0.0847301 -0.162868
1 48 -0.0623178 -0.207698
0 49 0.00186269 -0.161849
1 49 0.0232562 -0.200566
0 50 -0.118348 -0.160831
1 50 -0.0949174 -0.208717
0 51 0.00186269 -0.158793
1 51 0.0222374 -0.198529
0 52 -0.0643553 -0.153699
1 52 -0.0419431 -0.196491
0 53 0.0314061 -0.15268
1 53 0.0517809 -0.191396
0 54 0.0344623 -0.148604
1 54 0.0538183 -0.187321
0 55 -0.0755614 -0.14351
1 55 -0.0531492 -0.18834
0 56 -0.0949174 -0.138416
1 56 -0.0714865 -0.185283
0 57 -0.046018 -0.137397
1 57 -0.0246245 -0.180189
0 58 0.0640057 -0.128227
1 58 0.0892705 -0.146974
0 59 -0.0735239 -0.116001
1 59 -0.0521304 -0.162868
0 60 -0.0470367 -0.116001
1 60 -0.0256432 -0.159812
0 61 0.0701181 -0.112944
1 61 0.0843805 -0.162868
0 62 -0.022587 -0.110906
1 62 -0.00221227 -0.153699
0 63 0.14958 -0.108869
1 63 0.166287 -0.143306
0 64 0.0813243 -0.106831
1 64 0.10068 -0.14351
0 64 0.082343 -0.104793
0 65 0.320728 -0.103774
1 65 0.337028 -0.135359
0 66 -0.0582429 -0.0986801
1 66 -0.0378681 -0.145548
0 67 0.0752118 -0.0986801
1 67 0.0894742 -0.146567
0 68 -0.0572241 -0.0966423
1 68 -0.0368494 -0.14351
0 69 -0.0164746 -0.0966423
1 69 0.00247397 -0.140861
0 70 -0.022587 -0.0946046
1 70 -0.00221227 -0.138416
0 71 0.148561 -0.091548
1 71 0.16588 -0.126189
0 72 -0.00832469 -0.0895103
1 72 0.0110313 -0.133321
0 73 0.0792868 -0.0864537
1 73 0.0953829 -0.13108
0 74 0.0915116 -0.0864537
1 74 0.107811 -0.127208
0 75 -0.0388868 -0.0783028
1 75 -0.0185121 -0.123133
0 76 0.00288143 -0.0783028
1 76 0.0232562 -0.120076
0 77 -0.187623 -0.077284
1 77 -0.160117 -0.120076
0 78 -0.00119353 -0.077284
1 78 0.0171438 -0.121095
0 79 -0.167248 -0.0762651
1 79 -0.141779 -0.119057
0 76 0.00593764 -0.0762651
0 75 -0.0368494 -0.0752462
0 80 0.00186269 -0.0742274
1 80 0.0202 -0.118038
0 81 0.0334436 -0.0721897
1 81 0.0517809 -0.112944
0 82 0.148561 -0.0721897
1 82 0.166287 -0.106627
0 83 -0.142798 -0.0711708
1 83 -0.118348 -0.112944
0 81 0.035481 -0.0691331
0 84 0.278959 -0.0670954
1 84 0.294648 -0.0980687
0 85 -0.121405 -0.0660765
1 85 -0.0979736 -0.106831
0 86 -0.217166 -0.0650576
1 86 -0.18966 -0.10785
0 87 -0.118348 -0.0650576
1 87 -0.0941024 -0.106627
0 88 0.30239 -0.0630199
1 88 0.317672 -0.0946046
0 89 0.31054 -0.062001
1 89 0.32684 -0.0925669
0 90 0.306465 -0.0599633
1 90 0.321746 -0.091548
0 91 0.0517809 -0.0589445
1 91 0.0701181 -0.100718
0 92 0.303409 -0.0579256
1 92 0.319709 -0.0905292
0 93 0.0548371 -0.0569067
1 93 0.0711369 -0.0986801
0 94 0.313597 -0.0538501
1 94 0.328878 -0.0864537
0 95 0.306465 -0.0507936
1 95 0.321543 -0.0846198
0 96 -0.245691 -0.0487558
1 96 -0.217166 -0.0925669
0 97 -0.241616 -0.0487558
1 97 -0.212684 -0.0931782
0 98 0.296278 -0.0487558
1 98 0.311559 -0.0793217
0 99 0.314615 -0.0487558
1 99 0.329896 -0.0813594
0 100 0.237191 -0.047737
1 100 0.255528 -0.0762651
0 101 -0.0775989 -0.0467181
1 101 -0.0551866 -0.0874726
0 102 -0.0735239 -0.0456993
1 102 -0.0511117 -0.0864537
0 103 -0.0704677 -0.0436615
1 103 -0.0490742 -0.084416
0 104 0.119018 -0.0416238
1 104 0.134299 -0.0854349
0 105 -0.120386 -0.0406049
1 105 -0.0969549 -0.084416
0 106 -0.116311 -0.0375484
1 106 -0.09288 -0.0813594
0 107 -0.124461 -0.0344918
1 107 -0.10103 -0.077284
0 108 -0.108161 -0.0344918
1 108 -0.0867675 -0.0803406
0 109 0.325821 -0.0283786
1 109 0.340084 -0.0640388
0 110 0.328878 -0.0232843
1 110 0.342121 -0.0589445
0 111 0.00593764 -0.0212466
1 111 0.0273311 -0.0528313
0 112 -0.0796364 -0.0151334
1 112 -0.0574278 -0.0540539
0 113 0.128186 -0.0151334
1 113 0.140411 -0.0609822
0 114 0.0477059 -0.0120768
1 114 0.0640057 -0.0569067
0 115 -0.116311 -0.011058
1 115 -0.0256432 0.192918
0 116 0.0507621 -0.0100391
1 116 0.0665322 -0.0560101
0 117 0.315634 0.00218725
1 117 0.328878 -0.0365295
0 118 -0.0786176 0.00320611
1 118 -0.0562054 -0.0344918
0 119 0.131242 0.00728156
1 119 0.144282 -0.0357144
0 120 -0.0725052 0.00931928
1 120 -0.050093 -0.0283786
0 121 -0.105105 0.0103381
1 121 -0.0847301 -0.0375484
0 122 -0.0541679 0.011357
1 122 -0.0327744 -0.0243032
0 123 0.242285 0.0154325
1 123 0.257566 -0.0161523
0 124 0.0741931 0.0174702
1 124 0.0904929 -0.0222654
0 125 0.134299 0.018489
1 125 0.148683 -0.0243194
0 126 0.168936 0.018489
1 126 0.185236 -0.0171711
0 127 -0.0826926 0.0195079
1 127 -0.0623178 -0.0210428
0 128 -0.0674115 0.0195079
1 128 -0.046018 -0.0171711
0 128 -0.0674115 0.0225645
0 129 0.250435 0.0225645
1 129 0.266735 -0.0100391
0 130 0.250435 0.0256211
1 130 0.266735 -0.0069825
0 131 0.260622 0.0256211
1 131 0.275903 -0.00596364
0 132 0.264697 0.0276588
1 132 0.279978 -0.00494478
0 133 0.255528 0.0347908
1 133 0.271828 0.00218725
0 134 -0.0837113 0.0378474
1 134 -0.065374 -0.0141145
0 135 0.258585 0.0388663
1 135 0.273866 0.00524384
0 136 0.26266 0.0419229
1 136 0.276922 0.00728156
0 137 0.286091 0.0510926
1 137 0.298315 0.0123759
0 138 0.264697 0.0521115
1 138 0.278959 0.0154325
0 138 0.266735 0.0541492
0 139 0.275903 0.0541492
1 139 0.289147 0.0154325
0 140 0.264697 0.0561869
1 140 0.278959 0.0195079
0 141 0.277941 0.0582247
1 141 0.290166 0.0195079
0 142 -0.000174789 0.0623001
1 142 0.0110313 -0.000869334
0 143 0.0252937 0.0643378
1 143 0.0364998 0.0062627
0 144 0.292203 0.0643378
1 144 0.304428 0.0256211
0 145 0.269791 0.0673944
1 145 0.282016 0.0286777
0 146 0.284053 0.0724887
1 146 0.296278 0.0327531
0 147 0.275903 0.0745264
1 147 0.288128 0.0358097
0 148 0.231079 0.0806396
1 148 0.241266 0.0368286
0 149 0.235154 0.0816585
1 149 0.245749 0.036421
0 150 0.23821 0.0836962
1 150 0.248194 0.0376437
0 151 0.292203 0.0836962
1 151 0.304428 0.0449794
0 152 0.265716 0.0898094
1 152 0.275903 0.048036
0 153 0.275903 0.0898094
1 153 0.287109 0.0490549
0 154 0.294241 0.0898094
1 154 0.305447 0.0490549
0 155 0.272847 0.0949037
1 155 0.284053 0.0500738
0 156 0.276922 0.0949037
1 156 0.288128 0.0541492
0 139 0.294241 0.0949037
0 157 -0.0317557 0.106111
1 157 -0.0164746 0.0541492
0 158 -0.0236058 0.106111
1 158 -0.00832469 0.0551681
0 159 -0.026662 0.108149
1 159 -0.0123996 0.0561869
0 160 -0.0205496 0.109168
1 160 -0.00526848 0.0582247
0 161 0.115961 0.109168
1 161 0.121055 0.0425342
0 162 -0.0297182 0.110187
1 162 -0.0144371 0.0592435
0 163 -0.0348119 0.111205
1 163 -0.0195308 0.0584284
0 164 -0.0246245 0.111205
1 164 -0.0103622 0.0602624
0 165 0.115961 0.113243
1 165 0.121055 0.0459983
0 166 -0.0205496 0.115281
1 166 -0.00628722 0.0623001
0 167 0.167917 0.115281
1 167 0.176067 0.0612812
0 168 0.171992 0.115281
1 168 0.179734 0.0608737
0 169 0.16588 0.123432
1 169 0.174029 0.0694321
0 170 0.114943 0.124451
1 170 0.120036 0.0572058
0 171 -0.0317557 0.12547
1 171 2.89711e-05 0.139122
0 172 0.169954 0.127507
1 172 0.178104 0.0735076
0 173 0.228023 0.127507
1 173 0.237191 0.0796207
0 174 0.232098 0.131583
1 174 0.241266 0.0836962
0 175 0.245341 0.131583
1 175 0.255529 0.0828811
0 176 0.252472 0.131583
1 176 0.260174 0.0804359
0 177 0.31869 0.131583
1 177 0.324803 0.0816585
0 178 0.322765 0.13362
1 178 0.329896 0.0836962
0 179 0.146523 0.141771
1 179 0.148191 0.0711752
0 180 -0.065374 0.143809
1 180 -0.0488705 0.0963301
0 181 0.233116 0.145847
1 181 0.242285 0.0969414
0 182 -0.0704677 0.147884
1 182 -0.0521304 0.103055
0 183 -0.0623178 0.147884
1 183 -0.045203 0.101221
0 184 -0.0572241 0.148903
1 184 -0.040313 0.102443
0 185 -0.0358306 0.148903
1 185 -0.0207532 0.0975528
0 186 0.341102 0.148903
1 186 0.347215 0.0979603
0 187 -0.0684302 0.150941
1 187 -0.0521304 0.105092
0 188 0.216816 0.150941
1 188 0.169954 -0.0487558
0 189 -0.0348119 0.15196
1 189 -0.0215683 0.0969414
0 190 -0.0307369 0.15196
1 190 -0.0158633 0.099998
0 191 -0.026662 0.15196
1 191 -0.0121959 0.099998
0 192 -0.0236058 0.152979
1 192 -0.00934343 0.101017
0 193 0.346196 0.152979
1 193 0.352309 0.102036
0 194 -0.0643553 0.153998
1 194 -0.046018 0.110187
0 195 0.293222 0.155017
1 195 0.300353 0.103055
0 195 0.295259 0.156035
0 196 0.0191812 0.157054
1 196 0.0314061 0.102036
0 197 0.0222374 0.157054
1 197 0.0342586 0.102443
0 198 -0.0602803 0.158073
1 198 -0.0429618 0.112224
0 199 0.222929 0.158073
1 199 0.231079 0.109779
0 200 0.266735 0.158073
1 200 0.277533 0.115892
0 201 0.241266 0.159092
1 201 0.251861 0.113447
0 202 0.300353 0.159092
1 202 0.307484 0.10713
