11 9064 37485
0 0 0.311946 -0.317068
1 0 0.351371 -0.28963
0 1 0.105179 -0.253931
1 1 0.221783 -0.223368
0 2 0.112679 -0.251791
1 2 0.223025 -0.222898
0 3 0.165174 -0.225038
1 3 0.268021 -0.202565
0 4 0.195171 -0.221827
1 4 0.294804 -0.201495
0 5 0.156603 -0.208986
1 5 0.259451 -0.187584
0 6 0.156603 -0.198285
1 6 0.259451 -0.177952
0 7 0.190886 -0.196144
1 7 0.290519 -0.179023
0 8 0.172673 -0.191864
1 8 0.272949 -0.17303
0 9 0.201599 -0.190794
1 9 0.298018 -0.174742
0 10 0.172673 -0.167251
1 10 0.27552 -0.151199
0 11 0.195171 -0.15976
1 11 0.295876 -0.146919
0 12 0.160888 -0.15334
1 12 0.268021 -0.137288
0 13 0.156603 -0.127657
1 13 0.26695 -0.114815
0 14 0.0858953 -0.122306
1 14 0.195171 -0.101974
0 15 0.175887 -0.122306
1 15 0.286234 -0.110535
0 16 0.217669 -0.121236
1 16 0.320516 -0.113745
0 17 0.153389 -0.119096
1 17 0.265879 -0.106254
0 18 0.179101 -0.114815
1 18 0.289448 -0.105184
0 19 0.214455 -0.106254
1 19 0.321588 -0.100904
0 20 0.185529 -0.105184
1 20 0.296947 -0.0966232
0 21 0.176958 -0.103044
1 21 0.289448 -0.0944829
0 22 0.184458 -0.0998335
1 22 0.296947 -0.0923427
0 23 0.151246 -0.0934128
1 23 0.268021 -0.0827116
0 24 0.227311 -0.0902024
1 24 0.333372 -0.085922
0 25 0.133034 -0.0891323
1 25 0.248737 -0.077361
0 26 0.172673 -0.0891323
1 26 0.289448 -0.0827116
0 27 0.165174 -0.0816415
1 27 0.28302 -0.0741506
0 28 0.171602 -0.0762909
1 28 0.289448 -0.0698701
0 29 0.171602 -0.0709402
1 29 0.288376 -0.0655896
0 30 0.148032 -0.0677299
1 30 0.268064 -0.060025
0 31 0.16196 -0.0677299
1 31 0.280877 -0.0613092
0 32 0.168388 -0.0623793
1 32 0.287305 -0.0570287
0 33 0.204813 -0.060239
1 33 0.319445 -0.0580988
0 34 0.240167 -0.0527482
1 34 0.345157 -0.0538183
0 35 0.211241 -0.0516781
1 35 0.324802 -0.0506079
0 36 0.156603 -0.0495378
1 36 0.277663 -0.0431171
0 36 0.153389 -0.0484677
0 37 0.13839 -0.0463274
1 37 0.260093 -0.0394786
0 38 0.149104 -0.0452573
1 38 0.271235 -0.0399067
0 39 0.14589 -0.0431171
1 39 0.268021 -0.0366964
0 40 0.155532 -0.0431171
1 40 0.276592 -0.0388366
0 41 0.164102 -0.0431171
1 41 0.285162 -0.0388366
0 42 0.166245 -0.0431171
1 42 0.287305 -0.0388366
0 43 0.140533 -0.042047
1 43 0.262665 -0.0366964
0 44 0.151246 -0.042047
1 44 0.271235 -0.0366964
0 45 0.160888 -0.042047
1 45 0.28302 -0.0388366
0 46 0.182315 -0.042047
1 46 0.301232 -0.0399067
0 47 0.164102 -0.0388366
1 47 0.285162 -0.0345561
0 48 0.176958 -0.0366964
