9 9190 39712
0 0 0.353327 -0.365622
1 0 0.231079 -0.284113
0 1 0.324803 -0.338113
1 1 0.194404 -0.255585
0 2 0.363515 -0.317735
1 2 0.216816 -0.234189
0 3 0.508176 -0.310603
1 3 0.34314 -0.224
0 4 0.524475 -0.306528
1 4 0.360662 -0.220332
0 5 0.521419 -0.30449
1 5 0.360459 -0.216868
0 6 0.530588 -0.303471
1 6 0.368608 -0.216868
0 7 0.385927 -0.297358
1 7 0.237191 -0.212793
0 8 0.416489 -0.297358
1 8 0.264697 -0.211774
0 8 0.418527 -0.296339
0 9 0.381852 -0.294302
1 9 0.233116 -0.211774
0 10 0.414452 -0.292264
1 10 0.261641 -0.207698
0 11 0.397133 -0.290226
1 11 0.24636 -0.205661
0 12 -0.0755614 -0.284113
1 12 -0.183548 -0.207698
0 13 -0.0826926 -0.278
1 13 -0.191698 -0.203623
0 14 -0.0572241 -0.276981
1 14 -0.167452 -0.201993
0 15 0.354346 -0.276981
1 15 0.214779 -0.195472
0 16 -0.0745427 -0.271887
1 16 -0.183548 -0.19751
0 17 0.419545 -0.269849
1 17 0.268772 -0.186302
0 18 0.384908 -0.266792
1 18 0.239229 -0.184264
0 19 0.421583 -0.265773
1 19 0.269791 -0.183246
0 20 -0.0490742 -0.262717
1 20 -0.160117 -0.189359
0 21 0.406302 -0.258641
1 21 0.258585 -0.177132
0 21 0.410377 -0.258641
0 22 -0.0612991 -0.257623
1 22 -0.170304 -0.184264
0 23 0.409358 -0.256604
1 23 0.260622 -0.175095
0 24 0.397133 -0.253547
1 24 0.250435 -0.172038
0 25 -0.289496 -0.252528
1 25 -0.394834 -0.178763
0 26 -0.0572241 -0.252528
1 26 -0.167452 -0.178763
0 27 0.402227 -0.252528
1 27 0.25451 -0.171019
0 28 0.48067 -0.252528
1 28 0.323784 -0.168982
0 29 -0.0837113 -0.251509
1 29 -0.192716 -0.178151
0 30 -0.330246 -0.25049
1 30 -0.438232 -0.176114
0 31 0.36759 -0.248453
1 31 0.227004 -0.168982
0 32 -0.346546 -0.247434
1 32 -0.453513 -0.173057
0 33 -0.0969549 -0.246415
1 33 -0.204941 -0.173057
0 34 -0.0918612 -0.246415
1 34 -0.200866 -0.173057
0 35 -0.334321 -0.238264
1 35 -0.443326 -0.164906
0 36 -0.282365 -0.237245
1 36 -0.388314 -0.163887
0 37 -0.0959362 -0.235208
1 37 -0.204941 -0.162868
0 38 -0.0378681 -0.23317
1 38 -0.147892 -0.159812
0 39 -0.280328 -0.232151
1 39 -0.387295 -0.158793
0 40 -0.0959362 -0.232151
1 40 -0.204941 -0.159812
0 41 -0.34349 -0.231132
1 41 -0.450457 -0.157774
0 42 -0.290515 -0.219925
1 42 -0.398501 -0.147585
0 43 -0.277272 -0.219925
1 43 -0.385258 -0.147585
0 44 -0.00424974 -0.217887
1 44 -0.111217 -0.145548
0 45 -0.288478 -0.216868
1 45 -0.396464 -0.144529
0 46 -0.265047 -0.21483
1 46 -0.373033 -0.142491
0 47 -0.347564 -0.212793
1 47 -0.455551 -0.140453
0 48 -0.34349 -0.211774
1 48 -0.451476 -0.139435
0 49 0.346196 -0.207698
1 49 0.227004 -0.13434
0 50 -0.312927 -0.205661
1 50 -0.420914 -0.13434
0 51 0.342121 -0.205661
1 51 0.223948 -0.132303
0 52 0.37574 -0.205661
1 52 0.254306 -0.13108
0 53 -0.309871 -0.200566
1 53 -0.417857 -0.129246
0 54 -0.0256432 -0.200566
1 54 -0.134648 -0.129246
0 55 0.374721 -0.200566
1 55 0.253491 -0.127208
0 56 -0.000174789 -0.198529
1 56 -0.10918 -0.128227
0 57 -0.342471 -0.19751
1 57 -0.449438 -0.126189
0 58 -0.0205496 -0.19751
1 58 -0.129555 -0.127208
0 59 0.519382 -0.196491
1 59 0.391021 -0.120076
0 60 -0.0735239 -0.195472
1 60 -0.18151 -0.12517
0 61 -0.0419431 -0.195472
1 61 -0.150337 -0.126189
0 62 0.00288143 -0.195472
1 62 -0.105105 -0.12517
0 63 0.509194 -0.195472
1 63 0.381852 -0.121095
0 60 -0.0765801 -0.194453
0 64 -0.0531492 -0.194453
1 64 -0.160117 -0.12517
0 65 0.353327 -0.194453
1 65 0.231079 -0.121095
0 66 -0.0826926 -0.193434
1 66 -0.18966 -0.123133
0 67 -0.0684302 -0.193434
1 67 -0.174786 -0.123744
0 68 0.419545 -0.193434
1 68 0.289147 -0.118038
0 69 0.469463 -0.193434
1 69 0.33499 -0.116408
0 70 0.513269 -0.191396
1 70 0.385927 -0.116001
0 71 0.40732 -0.190378
1 71 0.279978 -0.114982
0 72 0.410377 -0.190378
1 72 0.283034 -0.116001
0 73 0.47252 -0.190378
1 73 0.337435 -0.115186
0 74 0.368608 -0.189359
1 74 0.248397 -0.116001
0 75 0.368608 -0.185283
1 75 0.248194 -0.11274
0 76 0.458257 -0.185283
1 76 0.31869 -0.108869
0 77 0.460295 -0.185283
1 77 0.322765 -0.109072
0 78 0.403246 -0.183246
1 78 0.276922 -0.108869
0 79 0.514288 -0.180189
1 79 0.390002 -0.106627
0 80 0.45622 -0.178151
1 80 0.316653 -0.101737
0 81 -0.00832469 -0.177132
1 81 -0.118348 -0.106831
0 82 0.409358 -0.174076
1 82 0.282016 -0.100718
0 83 0.447051 -0.168982
1 83 0.306465 -0.0925669
0 84 -0.298665 -0.164906
1 84 -0.402576 -0.0966423
0 85 -0.0205496 -0.158793
1 85 -0.130573 -0.0895103
0 86 0.371665 -0.158793
1 86 0.255773 -0.0882877
0 87 -0.0164746 -0.155736
1 87 -0.126498 -0.0864537
0 88 0.348234 -0.155736
1 88 0.223499 -0.082419
0 89 -0.296628 -0.154717
1 89 -0.402169 -0.087065
0 90 0.333971 -0.154717
1 90 0.208667 -0.0823783
0 91 0.482707 -0.154717
1 91 0.344159 -0.0783028
0 92 -0.00424974 -0.153699
1 92 -0.116311 -0.084416
0 93 0.348234 -0.153699
1 93 0.222521 -0.0797292
0 94 0.332953 -0.15268
1 94 0.207648 -0.0803406
0 95 0.341102 -0.15268
1 95 0.217631 -0.0809518
0 96 0.460295 -0.15268
1 96 0.319709 -0.077284
0 97 0.473538 -0.150642
1 97 0.331934 -0.0732085
0 98 -0.360808 -0.148604
1 98 -0.462682 -0.0813594
0 99 -0.358771 -0.148604
1 99 -0.459626 -0.0813594
0 100 -0.355714 -0.148604
1 100 -0.456569 -0.0813594
0 101 0.441958 -0.145548
1 101 0.305447 -0.0701519
0 101 0.443995 -0.145548
0 102 0.348234 -0.142491
1 102 0.223948 -0.0711708
0 103 0.00593764 -0.139435
1 103 -0.104086 -0.0711708
0 104 0.524475 -0.139435
1 104 0.383889 -0.0650576
0 105 -0.358771 -0.138416
1 105 -0.461663 -0.0721897
0 106 0.473538 -0.137397
1 106 0.33499 -0.0626123
0 107 0.00797512 -0.136378
1 107 -0.102049 -0.0691331
0 108 0.0049189 -0.135359
1 108 -0.105105 -0.0670954
0 109 -0.0174933 -0.133321
1 109 -0.127517 -0.0650576
0 110 0.5204 -0.132303
1 110 0.380833 -0.0569067
0 111 0.539756 -0.132303
1 111 0.400189 -0.0579256
0 112 -0.0837113 -0.131284
1 112 -0.19781 -0.0640388
0 113 0.349252 -0.130265
1 113 0.227004 -0.0589445
0 114 0.350271 -0.127208
1 114 0.229041 -0.0569067
0 115 0.436864 -0.12517
1 115 0.30239 -0.0507936
0 116 0.450107 -0.118038
1 116 0.315634 -0.0436615
0 117 -0.000174789 -0.114982
1 117 -0.10918 -0.047737
0 118 0.344159 -0.114982
1 118 0.220076 -0.0442728
0 119 0.428714 -0.114982
1 119 0.295259 -0.0416238
0 120 -0.00934343 -0.113963
1 120 -0.116311 -0.0467181
0 121 0.338046 -0.113963
1 121 0.21376 -0.0426427
0 122 0.342121 -0.113963
1 122 0.219873 -0.0426427
0 123 0.315634 -0.111925
1 123 0.195423 -0.0416238
0 124 0.314615 -0.106831
1 124 0.195423 -0.0355106
0 125 0.31869 -0.105812
1 125 0.198479 -0.0365295
0 126 0.445014 -0.103774
1 126 0.31054 -0.0304163
0 127 0.489838 -0.103774
1 127 0.35455 -0.0308239
0 128 0.31869 -0.101737
1 128 0.199498 -0.0324541
0 129 0.491876 -0.100718
1 129 0.354346 -0.0273597
0 130 -0.113255 -0.0996989
1 130 -0.231021 -0.0320465
0 131 0.492894 -0.0966423
1 131 0.356384 -0.0232843
0 132 -0.121405 -0.0956235
1 132 -0.23856 -0.0283786
0 133 -0.0511117 -0.0956235
1 133 -0.16085 -0.0296012
0 134 0.496969 -0.0956235
1 134 0.360459 -0.0212466
0 135 -0.124461 -0.0925669
1 135 -0.243653 -0.025322
0 136 0.457239 -0.091548
1 136 0.320728 -0.0192088
0 137 0.496969 -0.091548
1 137 0.360459 -0.01819
0 138 0.344159 -0.0905292
1 138 0.229367 -0.0222654
0 139 0.424639 -0.0905292
1 139 0.290166 -0.01819
0 140 0.483726 -0.0905292
1 140 0.345177 -0.0161523
0 141 0.418527 -0.0895103
1 141 0.284053 -0.0171711
0 142 0.454182 -0.0895103
1 142 0.317672 -0.0161523
0 143 0.458257 -0.0884914
1 143 0.321746 -0.0151334
0 144 0.363515 -0.0874726
1 144 0.253491 -0.0202277
0 145 0.482707 -0.0864537
1 145 0.345177 -0.0130957
0 146 0.499007 -0.0854349
1 146 0.362496 -0.0120768
0 147 -0.118348 -0.084416
1 147 -0.237541 -0.0171711
0 148 0.503082 -0.084416
1 148 0.366571 -0.011058
0 149 0.445014 -0.0833971
1 149 0.312578 -0.011058
0 149 0.449089 -0.0833971
0 150 -0.346546 -0.0823783
1 150 -0.44842 -0.01819
0 151 -0.338396 -0.0823783
1 151 -0.44027 -0.01819
0 152 -0.18966 -0.0823783
1 152 -0.309871 -0.0151334
0 153 -0.342471 -0.0813594
1 153 -0.444345 -0.01819
0 154 -0.133629 -0.0813594
1 154 -0.252822 -0.0141145
0 155 0.428714 -0.0813594
1 155 0.299334 -0.00902023
0 155 0.433808 -0.0813594
0 156 0.455201 -0.0803406
1 156 0.320728 -0.00800137
0 156 0.457239 -0.0803406
0 157 -0.186604 -0.0793217
1 157 -0.308037 -0.013707
0 158 0.436864 -0.0793217
1 158 0.30239 -0.0069825
0 159 0.46437 -0.0793217
1 159 0.327859 -0.00596364
0 160 0.484745 -0.0793217
1 160 0.347215 -0.0069825
0 161 -0.20596 -0.0742274
1 161 -0.325152 -0.0069825
0 162 -0.178454 -0.0721897
1 162 -0.298665 -0.00494478
0 163 -0.176416 -0.0721897
1 163 -0.295609 -0.00494478
0 163 -0.174379 -0.0721897
0 164 0.30239 -0.0721897
1 164 0.188292 -0.00290706
0 165 0.309522 -0.0721897
1 165 0.193385 -0.00392592
0 166 0.306465 -0.0711708
1 166 0.190329 -0.00290706
0 167 -0.17336 -0.0701519
1 167 -0.293571 -0.00494478
0 168 0.309522 -0.0691331
1 168 0.191348 -0.000869334
0 169 -0.17336 -0.0670954
1 169 -0.292553 -0.000869334
0 170 0.308503 -0.0670954
1 170 0.194404 0.00218725
0 171 0.32684 -0.0670954
1 171 0.210704 0.00116839
0 172 -0.137704 -0.0660765
1 172 -0.519731 0.040904
0 173 0.476595 -0.0660765
1 173 0.342121 0.0062627
0 174 -0.315984 -0.0650576
1 174 -0.417857 -0.0018882
0 175 0.470482 -0.0640388
1 175 0.338046 0.00728156
0 176 -0.320059 -0.0630199
1 176 -0.421729 -0.000258011
0 177 0.333971 -0.0599633
1 177 0.212742 0.00952307
0 178 0.329896 -0.0589445
1 178 0.212741 0.00931928
0 179 0.308503 -0.0579256
1 179 0.193385 0.0103381
0 180 0.316653 -0.0569067
1 180 0.201535 0.011357
0 181 0.48882 -0.0569067
1 181 0.35944 0.0133947
0 182 0.486782 -0.0528313
1 182 0.358421 0.018489
0 183 0.483726 -0.0497747
1 183 0.354346 0.0215456
0 184 0.487801 -0.0467181
1 184 0.35944 0.0235833
0 185 0.278959 -0.0426427
1 185 0.16751 0.0229721
0 186 0.30239 -0.0426427
1 186 0.18931 0.0246022
0 187 0.484745 -0.0426427
1 187 0.356384 0.0276588
0 188 0.292203 -0.0416238
1 188 0.180142 0.0246022
0 189 0.393058 -0.0416238
1 189 0.266735 0.0276588
0 190 0.400189 -0.0416238
1 190 0.271828 0.0276588
0 190 0.402227 -0.0416238
0 191 0.314615 -0.0406049
1 191 0.199498 0.0266399
0 192 0.436864 -0.0344918
1 192 0.305447 0.0368286
0 193 0.433808 -0.0334729
1 193 0.30239 0.0368286
0 194 0.437883 -0.0314352
1 194 0.307484 0.0398851
0 195 0.392039 -0.0293975
1 195 0.264697 0.0398851
0 196 0.453164 -0.0273597
1 196 0.324803 0.0429417
0 197 0.383889 -0.025322
1 197 0.258585 0.0429417
0 198 0.48882 -0.0171711
1 198 0.360459 0.0531303
0 199 0.382871 -0.0130957
1 199 0.259603 0.0551681
0 200 0.461314 -0.0130957
1 200 0.333971 0.0561869
0 201 0.422602 -0.0018882
1 201 0.295259 0.0673944
0 202 -0.354696 0.00218725
1 202 -0.48 0.0663755
0 203 0.313597 0.00218725
1 203 0.193385 0.0694321
0 204 0.35944 0.0144136
1 204 0.232098 0.0826773
0 204 0.361477 0.0154325
0 205 0.305447 0.0256211
1 205 0.185236 0.0918471
0 206 0.104755 0.0276588
1 206 -0.0327744 0.0949037
0 207 0.110868 0.0276588
1 207 -0.026662 0.0949037
0 208 0.313597 0.0296965
1 208 0.193385 0.0949037
0 209 0.384908 0.0296965
1 209 0.256547 0.0979603
0 210 0.388983 0.0317342
1 210 0.261641 0.099998
0 211 0.314615 0.0347908
1 211 0.194404 0.101017
0 212 0.331934 0.0378474
1 212 0.207648 0.105092
0 213 0.499007 0.0378474
1 213 0.366775 0.107334
0 214 0.322765 0.0388663
1 214 0.201535 0.105092
0 215 0.457239 0.0388663
1 215 0.325821 0.10713
0 216 0.534663 0.0388663
1 216 0.408339 0.107334
0 217 0.368608 0.040904
1 217 0.240859 0.108556
0 218 0.533644 0.040904
1 218 0.405894 0.109779
0 219 0.45622 0.0429417
1 219 0.323784 0.111205
0 220 0.371665 0.0439606
1 220 0.244322 0.111205
0 221 0.534663 0.0439606
1 221 0.405894 0.113447
0 222 0.331934 0.0459983
1 222 0.209685 0.112224
0 223 0.449089 0.0470172
1 223 0.316653 0.115281
0 224 0.503082 0.0470172
1 224 0.370646 0.1163
0 225 0.518363 0.048036
1 225 0.386946 0.117319
0 226 0.525494 0.048036
1 226 0.397133 0.117319
0 227 0.527532 0.048036
1 227 0.397337 0.117115
0 228 0.491876 0.0490549
1 228 0.35944 0.118337
0 229 0.502063 0.0500738
1 229 0.366571 0.120375
0 230 0.510213 0.0500738
1 230 0.377777 0.118337
0 231 0.532625 0.0500738
1 231 0.403449 0.11956
0 232 0.331934 0.0510926
1 232 0.208667 0.117319
0 233 -0.467776 0.0521115
1 233 0.206494 0.00525861
0 234 0.519382 0.0521115
1 234 0.387557 0.120783
0 235 0.533644 0.0521115
1 235 0.404264 0.121394
0 236 0.333971 0.0531303
1 236 0.211723 0.119356
0 237 0.511232 0.0531303
1 237 0.378796 0.121394
0 238 0.529569 0.0531303
1 238 0.401208 0.122413
0 239 0.5367 0.0531303
1 239 0.40732 0.121394
0 240 0.0670619 0.0551681
1 240 -0.0714865 0.121394
0 241 0.497988 0.0561869
1 241 0.366571 0.12547
0 242 -0.0765801 0.0582247
1 242 -0.184566 0.118337
0 243 0.516325 0.0582247
1 243 0.383889 0.127507
0 244 0.52855 0.0582247
1 244 0.402227 0.126488
0 245 0.519382 0.0612812
1 245 0.387964 0.130564
0 246 0.304428 0.0623001
1 246 0.187273 0.127507
0 247 0.521419 0.0623001
1 247 0.391224 0.130564
0 248 0.519382 0.0653567
1 248 0.390002 0.13362
0 249 0.398152 0.0663755
1 249 0.269791 0.132602
0 250 -0.128536 0.0673944
1 250 -0.233466 0.126488
0 251 0.497988 0.0673944
1 251 0.368608 0.135658
0 252 0.395096 0.0694321
1 252 0.267753 0.137696
0 253 0.404264 0.070451
1 253 0.277941 0.137696
0 254 0.524475 0.070451
1 254 0.398559 0.1379
0 255 0.400189 0.0724887
1 255 0.272847 0.139734
0 256 0.468445 0.0724887
1 256 0.338046 0.140752
0 257 0.353327 0.0735076
1 257 0.23006 0.139734
0 258 0.404264 0.0735076
1 258 0.276922 0.140752
0 259 -0.0786176 0.0745264
1 259 -0.186604 0.135658
0 260 0.382871 0.0745264
1 260 0.256547 0.141771
0 261 0.465389 0.0745264
1 261 0.33499 0.14279
0 262 0.354346 0.0755453
1 262 0.231079 0.141771
0 263 0.410377 0.0755453
1 263 0.280997 0.14279
0 264 0.417508 0.0765642
1 264 0.288128 0.143809
0 265 0.121055 0.0786019
1 265 -0.0236058 0.145847
